fieldOne	fieldTwo	insert_time	motelabMoteID	motelabSeqNo
1	1	2012-10-09 18:10:06	1	1
1	1	2012-10-09 18:10:06	2	2
1	2	2012-10-09 18:10:07	1	3
1	2	2012-10-09 18:10:07	2	4
1	3	2012-10-09 18:10:08	1	5
1	3	2012-10-09 18:10:08	2	6
1	4	2012-10-09 18:10:09	1	7
1	4	2012-10-09 18:10:09	2	8
1	5	2012-10-09 18:10:10	1	9
1	5	2012-10-09 18:10:10	2	10
1	6	2012-10-09 18:10:11	1	11
1	6	2012-10-09 18:10:11	2	12
1	7	2012-10-09 18:10:12	1	13
1	7	2012-10-09 18:10:12	2	14
1	8	2012-10-09 18:10:13	1	15
1	8	2012-10-09 18:10:13	2	16
1	9	2012-10-09 18:10:14	1	17
1	9	2012-10-09 18:10:14	2	18
1	10	2012-10-09 18:10:15	1	19
1	10	2012-10-09 18:10:15	2	20
1	11	2012-10-09 18:10:16	1	21
1	11	2012-10-09 18:10:16	2	22
1	12	2012-10-09 18:10:17	1	23
1	12	2012-10-09 18:10:17	2	24
1	13	2012-10-09 18:10:18	1	25
1	13	2012-10-09 18:10:18	2	26
1	14	2012-10-09 18:10:19	1	27
1	14	2012-10-09 18:10:19	2	28
1	15	2012-10-09 18:10:20	1	29
1	15	2012-10-09 18:10:20	2	30
1	16	2012-10-09 18:10:21	1	31
1	16	2012-10-09 18:10:21	2	32
1	17	2012-10-09 18:10:22	1	33
1	17	2012-10-09 18:10:22	2	34
1	18	2012-10-09 18:10:23	1	35
1	18	2012-10-09 18:10:23	2	36
1	19	2012-10-09 18:10:24	1	37
1	19	2012-10-09 18:10:24	2	38
1	20	2012-10-09 18:10:25	1	39
1	20	2012-10-09 18:10:25	2	40
1	21	2012-10-09 18:10:26	1	41
1	21	2012-10-09 18:10:26	2	42
1	22	2012-10-09 18:10:27	1	43
1	22	2012-10-09 18:10:27	2	44
1	23	2012-10-09 18:10:28	1	45
1	23	2012-10-09 18:10:28	2	46
1	24	2012-10-09 18:10:29	1	47
1	24	2012-10-09 18:10:29	2	48
1	25	2012-10-09 18:10:30	1	49
1	25	2012-10-09 18:10:30	2	50
1	26	2012-10-09 18:10:31	1	51
1	26	2012-10-09 18:10:31	2	52
1	27	2012-10-09 18:10:32	1	53
1	27	2012-10-09 18:10:32	2	54
1	28	2012-10-09 18:10:33	1	55
1	28	2012-10-09 18:10:33	2	56
1	29	2012-10-09 18:10:34	1	57
1	29	2012-10-09 18:10:34	2	58
1	30	2012-10-09 18:10:35	1	59
1	30	2012-10-09 18:10:35	2	60
1	31	2012-10-09 18:10:36	1	61
1	31	2012-10-09 18:10:36	2	62
1	32	2012-10-09 18:10:37	1	63
1	32	2012-10-09 18:10:37	2	64
1	33	2012-10-09 18:10:38	1	65
1	33	2012-10-09 18:10:38	2	66
1	34	2012-10-09 18:10:39	1	67
1	34	2012-10-09 18:10:39	2	68
1	35	2012-10-09 18:10:40	1	69
1	35	2012-10-09 18:10:40	2	70
1	36	2012-10-09 18:10:41	1	71
1	36	2012-10-09 18:10:41	2	72
1	37	2012-10-09 18:10:42	1	73
1	37	2012-10-09 18:10:42	2	74
1	38	2012-10-09 18:10:43	1	75
1	38	2012-10-09 18:10:43	2	76
1	39	2012-10-09 18:10:44	1	77
1	39	2012-10-09 18:10:44	2	78
1	40	2012-10-09 18:10:45	1	79
1	40	2012-10-09 18:10:45	2	80
1	41	2012-10-09 18:10:46	1	81
1	41	2012-10-09 18:10:46	2	82
1	42	2012-10-09 18:10:47	1	83
1	42	2012-10-09 18:10:47	2	84
1	43	2012-10-09 18:10:48	1	85
1	43	2012-10-09 18:10:48	2	86
1	44	2012-10-09 18:10:49	1	87
1	44	2012-10-09 18:10:49	2	88
1	45	2012-10-09 18:10:50	1	89
1	45	2012-10-09 18:10:50	2	90
1	46	2012-10-09 18:10:51	1	91
1	46	2012-10-09 18:10:51	2	92
1	47	2012-10-09 18:10:52	1	93
1	47	2012-10-09 18:10:52	2	94
1	48	2012-10-09 18:10:53	1	95
1	48	2012-10-09 18:10:53	2	96
1	49	2012-10-09 18:10:54	1	97
1	49	2012-10-09 18:10:54	2	98
1	50	2012-10-09 18:10:55	1	99
1	50	2012-10-09 18:10:55	2	100
1	51	2012-10-09 18:10:56	1	101
1	51	2012-10-09 18:10:56	2	102
1	52	2012-10-09 18:10:57	1	103
1	52	2012-10-09 18:10:57	2	104
1	53	2012-10-09 18:10:58	1	105
1	53	2012-10-09 18:10:58	2	106
1	54	2012-10-09 18:10:59	1	107
1	54	2012-10-09 18:10:59	2	108
1	55	2012-10-09 18:11:00	1	109
1	55	2012-10-09 18:11:00	2	110
1	56	2012-10-09 18:11:01	1	111
1	56	2012-10-09 18:11:01	2	112
1	57	2012-10-09 18:11:02	1	113
1	57	2012-10-09 18:11:02	2	114
1	58	2012-10-09 18:11:03	1	115
1	58	2012-10-09 18:11:03	2	116
1	59	2012-10-09 18:11:04	1	117
1	59	2012-10-09 18:11:04	2	118
1	60	2012-10-09 18:11:05	1	119
1	60	2012-10-09 18:11:05	2	120
1	61	2012-10-09 18:11:06	1	121
1	61	2012-10-09 18:11:06	2	122
1	62	2012-10-09 18:11:07	1	123
1	62	2012-10-09 18:11:07	2	124
1	63	2012-10-09 18:11:08	1	125
1	63	2012-10-09 18:11:08	2	126
1	64	2012-10-09 18:11:09	1	127
1	64	2012-10-09 18:11:09	2	128
1	65	2012-10-09 18:11:10	1	129
1	65	2012-10-09 18:11:10	2	130
1	66	2012-10-09 18:11:11	1	131
1	66	2012-10-09 18:11:11	2	132
1	67	2012-10-09 18:11:12	1	133
1	67	2012-10-09 18:11:12	2	134
1	68	2012-10-09 18:11:13	1	135
1	68	2012-10-09 18:11:13	2	136
1	69	2012-10-09 18:11:14	1	137
1	69	2012-10-09 18:11:14	2	138
1	70	2012-10-09 18:11:15	1	139
1	70	2012-10-09 18:11:15	2	140
1	71	2012-10-09 18:11:16	1	141
1	71	2012-10-09 18:11:16	2	142
1	72	2012-10-09 18:11:17	1	143
1	72	2012-10-09 18:11:17	2	144
1	73	2012-10-09 18:11:18	1	145
1	73	2012-10-09 18:11:18	2	146
1	74	2012-10-09 18:11:19	1	147
1	74	2012-10-09 18:11:19	2	148
1	75	2012-10-09 18:11:20	1	149
1	75	2012-10-09 18:11:20	2	150
1	76	2012-10-09 18:11:21	1	151
1	76	2012-10-09 18:11:21	2	152
1	77	2012-10-09 18:11:22	1	153
1	77	2012-10-09 18:11:22	2	154
1	78	2012-10-09 18:11:23	1	155
1	78	2012-10-09 18:11:23	2	156
1	79	2012-10-09 18:11:24	1	157
1	79	2012-10-09 18:11:24	2	158
1	80	2012-10-09 18:11:25	1	159
1	80	2012-10-09 18:11:25	2	160
1	81	2012-10-09 18:11:26	1	161
1	81	2012-10-09 18:11:26	2	162
1	82	2012-10-09 18:11:27	1	163
1	82	2012-10-09 18:11:27	2	164
1	83	2012-10-09 18:11:28	1	165
1	83	2012-10-09 18:11:28	2	166
1	84	2012-10-09 18:11:29	1	167
1	84	2012-10-09 18:11:29	2	168
1	85	2012-10-09 18:11:30	1	169
1	85	2012-10-09 18:11:30	2	170
1	86	2012-10-09 18:11:31	1	171
1	86	2012-10-09 18:11:31	2	172
1	87	2012-10-09 18:11:32	1	173
1	87	2012-10-09 18:11:32	2	174
1	88	2012-10-09 18:11:33	1	175
1	88	2012-10-09 18:11:33	2	176
1	89	2012-10-09 18:11:34	1	177
1	89	2012-10-09 18:11:34	2	178
1	90	2012-10-09 18:11:35	1	179
1	90	2012-10-09 18:11:35	2	180
1	91	2012-10-09 18:11:36	1	181
1	91	2012-10-09 18:11:36	2	182
1	92	2012-10-09 18:11:37	1	183
1	92	2012-10-09 18:11:37	2	184
1	93	2012-10-09 18:11:38	1	185
1	93	2012-10-09 18:11:38	2	186
1	94	2012-10-09 18:11:39	1	187
1	94	2012-10-09 18:11:39	2	188
1	95	2012-10-09 18:11:40	1	189
1	95	2012-10-09 18:11:40	2	190
1	96	2012-10-09 18:11:41	1	191
1	96	2012-10-09 18:11:41	2	192
1	97	2012-10-09 18:11:42	1	193
1	97	2012-10-09 18:11:42	2	194
1	98	2012-10-09 18:11:43	1	195
1	98	2012-10-09 18:11:43	2	196
1	99	2012-10-09 18:11:44	1	197
1	99	2012-10-09 18:11:44	2	198
1	100	2012-10-09 18:11:45	1	199
1	100	2012-10-09 18:11:45	2	200
1	101	2012-10-09 18:11:46	1	201
1	101	2012-10-09 18:11:46	2	202
1	102	2012-10-09 18:11:47	1	203
1	102	2012-10-09 18:11:47	2	204
1	103	2012-10-09 18:11:48	1	205
1	103	2012-10-09 18:11:48	2	206
1	104	2012-10-09 18:11:49	1	207
1	104	2012-10-09 18:11:49	2	208
1	105	2012-10-09 18:11:50	1	209
1	105	2012-10-09 18:11:50	2	210
1	106	2012-10-09 18:11:51	1	211
1	106	2012-10-09 18:11:51	2	212
1	107	2012-10-09 18:11:52	1	213
1	107	2012-10-09 18:11:52	2	214
1	108	2012-10-09 18:11:53	1	215
1	108	2012-10-09 18:11:53	2	216
1	109	2012-10-09 18:11:54	1	217
1	109	2012-10-09 18:11:54	2	218
1	110	2012-10-09 18:11:55	1	219
1	110	2012-10-09 18:11:55	2	220
1	111	2012-10-09 18:11:56	1	221
1	111	2012-10-09 18:11:56	2	222
1	112	2012-10-09 18:11:57	1	223
1	112	2012-10-09 18:11:57	2	224
1	113	2012-10-09 18:11:58	1	225
1	113	2012-10-09 18:11:58	2	226
1	114	2012-10-09 18:11:59	1	227
1	114	2012-10-09 18:11:59	2	228
1	115	2012-10-09 18:12:00	1	229
1	115	2012-10-09 18:12:00	2	230
1	116	2012-10-09 18:12:01	1	231
1	116	2012-10-09 18:12:01	2	232
1	117	2012-10-09 18:12:02	1	233
1	117	2012-10-09 18:12:02	2	234
1	118	2012-10-09 18:12:03	1	235
1	118	2012-10-09 18:12:03	2	236
1	119	2012-10-09 18:12:04	1	237
1	119	2012-10-09 18:12:04	2	238
1	120	2012-10-09 18:12:05	1	239
1	120	2012-10-09 18:12:05	2	240
1	121	2012-10-09 18:12:06	1	241
1	121	2012-10-09 18:12:06	2	242
1	122	2012-10-09 18:12:07	1	243
1	122	2012-10-09 18:12:07	2	244
1	123	2012-10-09 18:12:08	1	245
1	123	2012-10-09 18:12:08	2	246
1	124	2012-10-09 18:12:09	1	247
1	124	2012-10-09 18:12:09	2	248
1	125	2012-10-09 18:12:10	1	249
1	125	2012-10-09 18:12:10	2	250
1	126	2012-10-09 18:12:11	1	251
1	126	2012-10-09 18:12:11	2	252
1	127	2012-10-09 18:12:12	1	253
1	127	2012-10-09 18:12:12	2	254
1	128	2012-10-09 18:12:13	1	255
1	128	2012-10-09 18:12:13	2	256
1	129	2012-10-09 18:12:14	1	257
1	129	2012-10-09 18:12:14	2	258
1	130	2012-10-09 18:12:15	1	259
1	130	2012-10-09 18:12:15	2	260
1	131	2012-10-09 18:12:16	1	261
1	131	2012-10-09 18:12:16	2	262
1	132	2012-10-09 18:12:17	1	263
1	132	2012-10-09 18:12:17	2	264
1	133	2012-10-09 18:12:18	1	265
1	133	2012-10-09 18:12:18	2	266
1	134	2012-10-09 18:12:19	1	267
1	134	2012-10-09 18:12:19	2	268
1	135	2012-10-09 18:12:20	1	269
1	135	2012-10-09 18:12:20	2	270
1	136	2012-10-09 18:12:21	1	271
1	136	2012-10-09 18:12:21	2	272
1	137	2012-10-09 18:12:22	1	273
1	137	2012-10-09 18:12:22	2	274
1	138	2012-10-09 18:12:23	1	275
1	138	2012-10-09 18:12:23	2	276
1	139	2012-10-09 18:12:24	1	277
1	139	2012-10-09 18:12:24	2	278
1	140	2012-10-09 18:12:25	1	279
1	140	2012-10-09 18:12:25	2	280
1	141	2012-10-09 18:12:26	1	281
1	141	2012-10-09 18:12:26	2	282
1	142	2012-10-09 18:12:27	1	283
1	142	2012-10-09 18:12:27	2	284
1	143	2012-10-09 18:12:28	1	285
1	143	2012-10-09 18:12:28	2	286
1	144	2012-10-09 18:12:29	1	287
1	144	2012-10-09 18:12:29	2	288
1	145	2012-10-09 18:12:30	1	289
1	145	2012-10-09 18:12:30	2	290
1	146	2012-10-09 18:12:31	1	291
1	146	2012-10-09 18:12:31	2	292
1	147	2012-10-09 18:12:32	1	293
1	147	2012-10-09 18:12:32	2	294
1	148	2012-10-09 18:12:33	1	295
1	148	2012-10-09 18:12:33	2	296
1	149	2012-10-09 18:12:34	1	297
1	149	2012-10-09 18:12:34	2	298
1	150	2012-10-09 18:12:35	1	299
1	150	2012-10-09 18:12:35	2	300
1	151	2012-10-09 18:12:36	1	301
1	151	2012-10-09 18:12:36	2	302
1	152	2012-10-09 18:12:37	1	303
1	152	2012-10-09 18:12:37	2	304
1	153	2012-10-09 18:12:38	1	305
1	153	2012-10-09 18:12:38	2	306
1	154	2012-10-09 18:12:39	1	307
1	154	2012-10-09 18:12:39	2	308
1	155	2012-10-09 18:12:40	1	309
1	155	2012-10-09 18:12:40	2	310
1	156	2012-10-09 18:12:41	1	311
1	156	2012-10-09 18:12:41	2	312
1	157	2012-10-09 18:12:42	1	313
1	157	2012-10-09 18:12:42	2	314
1	158	2012-10-09 18:12:43	1	315
1	158	2012-10-09 18:12:43	2	316
1	159	2012-10-09 18:12:44	1	317
1	159	2012-10-09 18:12:44	2	318
1	160	2012-10-09 18:12:45	1	319
1	160	2012-10-09 18:12:45	2	320
1	161	2012-10-09 18:12:46	1	321
1	161	2012-10-09 18:12:46	2	322
1	162	2012-10-09 18:12:47	1	323
1	162	2012-10-09 18:12:47	2	324
1	163	2012-10-09 18:12:48	1	325
1	163	2012-10-09 18:12:48	2	326
1	164	2012-10-09 18:12:49	1	327
1	164	2012-10-09 18:12:49	2	328
1	165	2012-10-09 18:12:50	1	329
1	165	2012-10-09 18:12:50	2	330
1	166	2012-10-09 18:12:51	1	331
1	166	2012-10-09 18:12:51	2	332
1	167	2012-10-09 18:12:52	1	333
1	167	2012-10-09 18:12:52	2	334
1	168	2012-10-09 18:12:53	1	335
1	168	2012-10-09 18:12:53	2	336
1	169	2012-10-09 18:12:54	1	337
1	169	2012-10-09 18:12:54	2	338
1	170	2012-10-09 18:12:55	1	339
1	170	2012-10-09 18:12:55	2	340
1	171	2012-10-09 18:12:56	1	341
1	171	2012-10-09 18:12:56	2	342
1	172	2012-10-09 18:12:57	1	343
1	172	2012-10-09 18:12:57	2	344
1	173	2012-10-09 18:12:58	1	345
1	173	2012-10-09 18:12:58	2	346
1	174	2012-10-09 18:12:59	1	347
1	174	2012-10-09 18:12:59	2	348
1	175	2012-10-09 18:13:00	1	349
1	175	2012-10-09 18:13:00	2	350
1	176	2012-10-09 18:13:01	1	351
1	176	2012-10-09 18:13:01	2	352
1	177	2012-10-09 18:13:02	1	353
1	177	2012-10-09 18:13:02	2	354
1	178	2012-10-09 18:13:03	1	355
1	178	2012-10-09 18:13:03	2	356
1	179	2012-10-09 18:13:04	1	357
1	179	2012-10-09 18:13:04	2	358
1	180	2012-10-09 18:13:05	1	359
1	180	2012-10-09 18:13:05	2	360
1	181	2012-10-09 18:13:06	1	361
1	181	2012-10-09 18:13:06	2	362
1	182	2012-10-09 18:13:07	1	363
1	182	2012-10-09 18:13:07	2	364
1	183	2012-10-09 18:13:08	1	365
1	183	2012-10-09 18:13:08	2	366
1	184	2012-10-09 18:13:09	1	367
1	184	2012-10-09 18:13:09	2	368
1	185	2012-10-09 18:13:10	1	369
1	185	2012-10-09 18:13:10	2	370
1	186	2012-10-09 18:13:11	1	371
1	186	2012-10-09 18:13:11	2	372
1	187	2012-10-09 18:13:12	1	373
1	187	2012-10-09 18:13:12	2	374
1	188	2012-10-09 18:13:13	1	375
1	188	2012-10-09 18:13:13	2	376
1	189	2012-10-09 18:13:14	1	377
1	189	2012-10-09 18:13:14	2	378
1	190	2012-10-09 18:13:15	1	379
1	190	2012-10-09 18:13:15	2	380
1	191	2012-10-09 18:13:16	1	381
1	191	2012-10-09 18:13:16	2	382
1	192	2012-10-09 18:13:17	1	383
1	192	2012-10-09 18:13:17	2	384
1	193	2012-10-09 18:13:18	1	385
1	193	2012-10-09 18:13:18	2	386
1	194	2012-10-09 18:13:19	1	387
1	194	2012-10-09 18:13:19	2	388
1	195	2012-10-09 18:13:20	1	389
1	195	2012-10-09 18:13:20	2	390
1	196	2012-10-09 18:13:21	1	391
1	196	2012-10-09 18:13:21	2	392
1	197	2012-10-09 18:13:22	1	393
1	197	2012-10-09 18:13:22	2	394
