counter	insert_time	motelabMoteID	motelabSeqNo
7	2012-11-29 14:27:18	2	1
7	2012-11-29 14:27:18	1	2
8	2012-11-29 14:27:19	2	3
8	2012-11-29 14:27:19	1	4
9	2012-11-29 14:27:20	2	5
9	2012-11-29 14:27:20	1	6
10	2012-11-29 14:27:21	2	7
10	2012-11-29 14:27:21	1	8
11	2012-11-29 14:27:22	2	9
11	2012-11-29 14:27:22	1	10
12	2012-11-29 14:27:22	2	11
12	2012-11-29 14:27:23	1	12
13	2012-11-29 14:27:23	2	13
13	2012-11-29 14:27:23	1	14
14	2012-11-29 14:27:24	2	15
14	2012-11-29 14:27:24	1	16
15	2012-11-29 14:27:25	2	17
15	2012-11-29 14:27:25	1	18
16	2012-11-29 14:27:26	2	19
16	2012-11-29 14:27:26	1	20
17	2012-11-29 14:27:27	2	21
17	2012-11-29 14:27:27	1	22
18	2012-11-29 14:27:28	2	23
18	2012-11-29 14:27:28	1	24
19	2012-11-29 14:27:29	2	25
19	2012-11-29 14:27:29	1	26
20	2012-11-29 14:27:30	2	27
20	2012-11-29 14:27:30	1	28
21	2012-11-29 14:27:31	2	29
21	2012-11-29 14:27:31	1	30
22	2012-11-29 14:27:32	2	31
22	2012-11-29 14:27:32	1	32
23	2012-11-29 14:27:33	2	33
23	2012-11-29 14:27:33	1	34
24	2012-11-29 14:27:34	2	35
24	2012-11-29 14:27:34	1	36
25	2012-11-29 14:27:35	2	37
25	2012-11-29 14:27:35	1	38
26	2012-11-29 14:27:36	2	39
26	2012-11-29 14:27:36	1	40
27	2012-11-29 14:27:37	2	41
27	2012-11-29 14:27:37	1	42
28	2012-11-29 14:27:38	2	43
28	2012-11-29 14:27:38	1	44
29	2012-11-29 14:27:39	2	45
29	2012-11-29 14:27:39	1	46
30	2012-11-29 14:27:40	2	47
30	2012-11-29 14:27:40	1	48
31	2012-11-29 14:27:41	2	49
31	2012-11-29 14:27:41	1	50
32	2012-11-29 14:27:42	2	51
32	2012-11-29 14:27:42	1	52
33	2012-11-29 14:27:43	2	53
33	2012-11-29 14:27:43	1	54
34	2012-11-29 14:27:44	2	55
34	2012-11-29 14:27:44	1	56
35	2012-11-29 14:27:45	2	57
35	2012-11-29 14:27:45	1	58
36	2012-11-29 14:27:46	2	59
36	2012-11-29 14:27:46	1	60
37	2012-11-29 14:27:47	2	61
37	2012-11-29 14:27:47	1	62
38	2012-11-29 14:27:48	2	63
38	2012-11-29 14:27:48	1	64
39	2012-11-29 14:27:49	2	65
39	2012-11-29 14:27:49	1	66
40	2012-11-29 14:27:50	2	67
40	2012-11-29 14:27:50	1	68
41	2012-11-29 14:27:51	2	69
41	2012-11-29 14:27:51	1	70
42	2012-11-29 14:27:52	2	71
42	2012-11-29 14:27:52	1	72
43	2012-11-29 14:27:53	2	73
43	2012-11-29 14:27:53	1	74
44	2012-11-29 14:27:54	2	75
44	2012-11-29 14:27:54	1	76
45	2012-11-29 14:27:55	2	77
45	2012-11-29 14:27:55	1	78
46	2012-11-29 14:27:56	2	79
46	2012-11-29 14:27:56	1	80
47	2012-11-29 14:27:57	2	81
47	2012-11-29 14:27:57	1	82
48	2012-11-29 14:27:58	2	83
48	2012-11-29 14:27:58	1	84
49	2012-11-29 14:27:59	2	85
49	2012-11-29 14:27:59	1	86
50	2012-11-29 14:28:00	2	87
50	2012-11-29 14:28:00	1	88
51	2012-11-29 14:28:01	2	89
51	2012-11-29 14:28:01	1	90
52	2012-11-29 14:28:02	2	91
52	2012-11-29 14:28:02	1	92
53	2012-11-29 14:28:03	2	93
53	2012-11-29 14:28:03	1	94
54	2012-11-29 14:28:04	2	95
54	2012-11-29 14:28:04	1	96
55	2012-11-29 14:28:04	2	97
55	2012-11-29 14:28:04	1	98
56	2012-11-29 14:28:05	2	99
56	2012-11-29 14:28:05	1	100
57	2012-11-29 14:28:06	2	101
57	2012-11-29 14:28:06	1	102
58	2012-11-29 14:28:07	2	103
58	2012-11-29 14:28:07	1	104
59	2012-11-29 14:28:08	2	105
59	2012-11-29 14:28:08	1	106
60	2012-11-29 14:28:09	2	107
60	2012-11-29 14:28:09	1	108
61	2012-11-29 14:28:10	2	109
61	2012-11-29 14:28:10	1	110
62	2012-11-29 14:28:11	2	111
62	2012-11-29 14:28:11	1	112
63	2012-11-29 14:28:12	2	113
63	2012-11-29 14:28:12	1	114
64	2012-11-29 14:28:13	2	115
64	2012-11-29 14:28:13	1	116
65	2012-11-29 14:28:14	2	117
65	2012-11-29 14:28:14	1	118
66	2012-11-29 14:28:15	2	119
66	2012-11-29 14:28:15	1	120
67	2012-11-29 14:28:16	2	121
67	2012-11-29 14:28:16	1	122
68	2012-11-29 14:28:17	2	123
68	2012-11-29 14:28:17	1	124
69	2012-11-29 14:28:18	2	125
69	2012-11-29 14:28:18	1	126
70	2012-11-29 14:28:19	2	127
70	2012-11-29 14:28:19	1	128
71	2012-11-29 14:28:20	2	129
71	2012-11-29 14:28:20	1	130
72	2012-11-29 14:28:21	2	131
72	2012-11-29 14:28:21	1	132
73	2012-11-29 14:28:22	2	133
73	2012-11-29 14:28:22	1	134
74	2012-11-29 14:28:23	2	135
74	2012-11-29 14:28:23	1	136
75	2012-11-29 14:28:24	2	137
75	2012-11-29 14:28:24	1	138
